"DAY","AMP1","AMP2","AMP3","AMP4"
465,-4.317191289,-4.634382577,-4.951573866,-5.268765154
466,-4.333468779,-4.666937558,-5.000406337,-5.333875116
467,-4.349647455,-4.699294911,-5.048942366,-5.398589821
468,-4.365722523,-4.731445047,-5.09716757,-5.462890094
469,-4.38168922,-4.763378441,-5.145067661,-5.526756881
470,-4.397542814,-4.795085629,-5.192628443,-5.590171257
471,-4.413278608,-4.826557216,-5.239835823,-5.653114431
472,-4.428891938,-4.857783876,-5.286675814,-5.715567752
473,-4.444378178,-4.888756356,-5.333134534,-5.777512712
474,-4.459732739,-4.919465479,-5.379198218,-5.838930958
475,-4.474951072,-4.949902144,-5.424853216,-5.899804288
476,-4.490028666,-4.980057333,-5.470085999,-5.960114666
477,-4.504961055,-5.009922109,-5.514883164,-6.019844219
478,-4.519743812,-5.039487624,-5.559231436,-6.078975249
479,-4.534372558,-5.068745117,-5.603117675,-6.137490233
480,-4.548842958,-5.097685917,-5.646528875,-6.195371833
481,-4.563150724,-5.126301449,-5.689452173,-6.252602897
482,-4.577291617,-5.154583233,-5.73187485,-6.309166466
483,-4.591261445,-5.18252289,-5.773784335,-6.365045779
484,-4.60505607,-5.210112139,-5.815168209,-6.420224279
485,-4.618671403,-5.237342807,-5.85601421,-6.474685613
486,-4.632103411,-5.264206822,-5.896310234,-6.528413645
487,-4.645348113,-5.290696226,-5.93604434,-6.581392453
488,-4.658401585,-5.316803169,-5.975204754,-6.633606339
489,-4.671259958,-5.342519915,-6.013779873,-6.68503983
490,-4.683919422,-5.367838843,-6.051758265,-6.735677686
491,-4.696376226,-5.392752451,-6.089128677,-6.785504902
492,-4.708626678,-5.417253357,-6.125880035,-6.834506713
493,-4.72066715,-5.441334299,-6.162001449,-6.882668598
494,-4.732494072,-5.464988143,-6.197482215,-6.929976286
495,-4.74410394,-5.48820788,-6.23231182,-6.976415759
496,-4.755493314,-5.510986628,-6.266479942,-7.021973256
497,-4.766658819,-5.533317639,-6.299976458,-7.066635277
498,-4.777597147,-5.555194294,-6.332791441,-7.110388588
499,-4.788305056,-5.576610112,-6.364915167,-7.153220223
500,-4.798779373,-5.597558746,-6.396338119,-7.195117492
