"DAY","AMP1","AMP2","AMP3","AMP4"
93,-4.200890555,-4.40178111,-4.602671665,-4.803562221
94,-4.21772323,-4.435446461,-4.653169691,-4.870892922
95,-4.23449139,-4.468982779,-4.703474169,-4.937965558
96,-4.251190064,-4.502380128,-4.753570192,-5.004760256
97,-4.267814305,-4.53562861,-4.803442915,-5.071257221
98,-4.284359187,-4.568718375,-4.853077562,-5.137436749
99,-4.300819808,-4.601639615,-4.902459423,-5.203279231
100,-4.317191289,-4.634382577,-4.951573866,-5.268765154
101,-4.333468779,-4.666937558,-5.000406337,-5.333875116
102,-4.349647455,-4.699294911,-5.048942366,-5.398589821
103,-4.365722523,-4.731445047,-5.09716757,-5.462890094
104,-4.38168922,-4.763378441,-5.145067661,-5.526756881
105,-4.397542814,-4.795085629,-5.192628443,-5.590171257
106,-4.413278608,-4.826557216,-5.239835823,-5.653114431
107,-4.428891938,-4.857783876,-5.286675814,-5.715567752
108,-4.444378178,-4.888756356,-5.333134534,-5.777512712
109,-4.459732739,-4.919465479,-5.379198218,-5.838930958
110,-4.474951072,-4.949902144,-5.424853216,-5.899804288
111,-4.490028666,-4.980057333,-5.470085999,-5.960114666
112,-4.504961055,-5.009922109,-5.514883164,-6.019844219
113,-4.519743812,-5.039487624,-5.559231436,-6.078975249
114,-4.534372558,-5.068745117,-5.603117675,-6.137490233
115,-4.548842958,-5.097685917,-5.646528875,-6.195371833
116,-4.563150724,-5.126301449,-5.689452173,-6.252602897
117,-4.577291617,-5.154583233,-5.73187485,-6.309166466
118,-4.591261445,-5.18252289,-5.773784335,-6.365045779
119,-4.60505607,-5.210112139,-5.815168209,-6.420224279
120,-4.618671403,-5.237342807,-5.85601421,-6.474685613
121,-4.632103411,-5.264206822,-5.896310234,-6.528413645
122,-4.645348113,-5.290696226,-5.93604434,-6.581392453
123,-4.658401585,-5.316803169,-5.975204754,-6.633606339
124,-4.671259958,-5.342519915,-6.013779873,-6.68503983
125,-4.683919422,-5.367838843,-6.051758265,-6.735677686
126,-4.696376226,-5.392752451,-6.089128677,-6.785504902
127,-4.708626678,-5.417253357,-6.125880035,-6.834506713
128,-4.72066715,-5.441334299,-6.162001449,-6.882668598
129,-4.732494072,-5.464988143,-6.197482215,-6.929976286
130,-4.74410394,-5.48820788,-6.23231182,-6.976415759
131,-4.755493314,-5.510986628,-6.266479942,-7.021973256
132,-4.766658819,-5.533317639,-6.299976458,-7.066635277
133,-4.777597147,-5.555194294,-6.332791441,-7.110388588
134,-4.788305056,-5.576610112,-6.364915167,-7.153220223
135,-4.798779373,-5.597558746,-6.396338119,-7.195117492
136,-4.809016994,-5.618033989,-6.427050983,-7.236067977
137,-4.819014887,-5.638029773,-6.45704466,-7.276059547
138,-4.828770087,-5.657540174,-6.486310262,-7.315080349
139,-4.838279705,-5.67655941,-6.514839116,-7.353118821
140,-4.847540923,-5.695081846,-6.542622769,-7.390163692
141,-4.856550996,-5.713101992,-6.569652988,-7.426203984
142,-4.865307254,-5.730614509,-6.595921763,-7.461229017
143,-4.873807104,-5.747614207,-6.621421311,-7.495228414
144,-4.882048025,-5.76409605,-6.646144075,-7.5281921
145,-4.890027576,-5.780055153,-6.670082729,-7.560110306
146,-4.897743394,-5.795486787,-6.693230181,-7.590973574
147,-4.90519319,-5.81038638,-6.71557957,-7.62077276
148,-4.912374758,-5.824749516,-6.737124274,-7.649499032
149,-4.91928597,-5.838571939,-6.757857909,-7.677143879
150,-4.925924777,-5.851849554,-6.777774332,-7.703699109
151,-4.932289213,-5.864578426,-6.79686764,-7.729156853
152,-4.938377392,-5.876754783,-6.815132175,-7.753509567
153,-4.944187509,-5.888375018,-6.832562527,-7.776750035
154,-4.949717843,-5.899435686,-6.849153528,-7.798871371
155,-4.954966755,-5.90993351,-6.864900265,-7.819867019
156,-4.95993269,-5.919865379,-6.879798069,-7.839730759
157,-4.964614176,-5.929228351,-6.893842527,-7.858456703
158,-4.969009826,-5.938019651,-6.907029477,-7.876039303
159,-4.973118337,-5.946236674,-6.919355012,-7.892473349
160,-4.976938493,-5.953876986,-6.930815478,-7.907753971
161,-4.98046916,-5.960938321,-6.941407481,-7.921876641
162,-4.983709294,-5.967418588,-6.951127881,-7.934837175
163,-4.986657933,-5.973315866,-6.959973799,-7.946631732
164,-4.989314204,-5.978628408,-6.967942612,-7.957256816
165,-4.99167732,-5.98335464,-6.97503196,-7.96670928
166,-4.99374658,-5.987493161,-6.981239741,-7.974986322
167,-4.995521372,-5.991042745,-6.986564117,-7.98208549
168,-4.99700117,-5.99400234,-6.99100351,-7.98800468
169,-4.998185534,-5.996371069,-6.994556603,-7.992742138
170,-4.999074115,-5.99814823,-6.997222345,-7.99629646
171,-4.999666649,-5.999333297,-6.998999946,-7.998666594
172,-4.999962959,-5.999925918,-6.999888877,-7.999851836
173,-4.999962959,-5.999925918,-6.999888877,-7.999851836
174,-4.999666649,-5.999333297,-6.998999946,-7.998666594
175,-4.999074115,-5.99814823,-6.997222345,-7.99629646
176,-4.998185534,-5.996371069,-6.994556603,-7.992742138
177,-4.99700117,-5.99400234,-6.99100351,-7.98800468
178,-4.995521372,-5.991042745,-6.986564117,-7.98208549
179,-4.99374658,-5.987493161,-6.981239741,-7.974986322
180,-4.99167732,-5.98335464,-6.97503196,-7.96670928
181,-4.989314204,-5.978628408,-6.967942612,-7.957256816
182,-4.986657933,-5.973315866,-6.959973799,-7.946631732
183,-4.983709294,-5.967418588,-6.951127881,-7.934837175
184,-4.98046916,-5.960938321,-6.941407481,-7.921876641
185,-4.976938493,-5.953876986,-6.930815478,-7.907753971
186,-4.973118337,-5.946236674,-6.919355012,-7.892473349
187,-4.969009826,-5.938019651,-6.907029477,-7.876039303
188,-4.964614176,-5.929228351,-6.893842527,-7.858456703
189,-4.95993269,-5.919865379,-6.879798069,-7.839730759
190,-4.954966755,-5.90993351,-6.864900265,-7.819867019
191,-4.949717843,-5.899435686,-6.849153528,-7.798871371
192,-4.944187509,-5.888375018,-6.832562527,-7.776750035
193,-4.938377392,-5.876754783,-6.815132175,-7.753509567
194,-4.932289213,-5.864578426,-6.79686764,-7.729156853
195,-4.925924777,-5.851849554,-6.777774332,-7.703699109
196,-4.91928597,-5.838571939,-6.757857909,-7.677143879
197,-4.912374758,-5.824749516,-6.737124274,-7.649499032
198,-4.90519319,-5.81038638,-6.71557957,-7.62077276
199,-4.897743394,-5.795486787,-6.693230181,-7.590973574
200,-4.890027576,-5.780055153,-6.670082729,-7.560110306
201,-4.882048025,-5.76409605,-6.646144075,-7.5281921
202,-4.873807104,-5.747614207,-6.621421311,-7.495228414
203,-4.865307254,-5.730614509,-6.595921763,-7.461229017
204,-4.856550996,-5.713101992,-6.569652988,-7.426203984
205,-4.847540923,-5.695081846,-6.542622769,-7.390163692
206,-4.838279705,-5.67655941,-6.514839116,-7.353118821
207,-4.828770087,-5.657540174,-6.486310262,-7.315080349
208,-4.819014887,-5.638029773,-6.45704466,-7.276059547
209,-4.809016994,-5.618033989,-6.427050983,-7.236067977
210,-4.798779373,-5.597558746,-6.396338119,-7.195117492
211,-4.788305056,-5.576610112,-6.364915167,-7.153220223
212,-4.777597147,-5.555194294,-6.332791441,-7.110388588
213,-4.766658819,-5.533317639,-6.299976458,-7.066635277
214,-4.755493314,-5.510986628,-6.266479942,-7.021973256
215,-4.74410394,-5.48820788,-6.23231182,-6.976415759
216,-4.732494072,-5.464988143,-6.197482215,-6.929976286
217,-4.72066715,-5.441334299,-6.162001449,-6.882668598
218,-4.708626678,-5.417253357,-6.125880035,-6.834506713
219,-4.696376226,-5.392752451,-6.089128677,-6.785504902
220,-4.683919422,-5.367838843,-6.051758265,-6.735677686
221,-4.671259958,-5.342519915,-6.013779873,-6.68503983
222,-4.658401585,-5.316803169,-5.975204754,-6.633606339
223,-4.645348113,-5.290696226,-5.93604434,-6.581392453
224,-4.632103411,-5.264206822,-5.896310234,-6.528413645
225,-4.618671403,-5.237342807,-5.85601421,-6.474685613
226,-4.60505607,-5.210112139,-5.815168209,-6.420224279
227,-4.591261445,-5.18252289,-5.773784335,-6.365045779
228,-4.577291617,-5.154583233,-5.73187485,-6.309166466
229,-4.563150724,-5.126301449,-5.689452173,-6.252602897
230,-4.548842958,-5.097685917,-5.646528875,-6.195371833
231,-4.534372558,-5.068745117,-5.603117675,-6.137490233
232,-4.519743812,-5.039487624,-5.559231436,-6.078975249
233,-4.504961055,-5.009922109,-5.514883164,-6.019844219
234,-4.490028666,-4.980057333,-5.470085999,-5.960114666
235,-4.474951072,-4.949902144,-5.424853216,-5.899804288
236,-4.459732739,-4.919465479,-5.379198218,-5.838930958
237,-4.444378178,-4.888756356,-5.333134534,-5.777512712
238,-4.428891938,-4.857783876,-5.286675814,-5.715567752
239,-4.413278608,-4.826557216,-5.239835823,-5.653114431
240,-4.397542814,-4.795085629,-5.192628443,-5.590171257
241,-4.38168922,-4.763378441,-5.145067661,-5.526756881
242,-4.365722523,-4.731445047,-5.09716757,-5.462890094
243,-4.349647455,-4.699294911,-5.048942366,-5.398589821
244,-4.333468779,-4.666937558,-5.000406337,-5.333875116
245,-4.317191289,-4.634382577,-4.951573866,-5.268765154
246,-4.300819808,-4.601639615,-4.902459423,-5.203279231
247,-4.284359187,-4.568718375,-4.853077562,-5.137436749
248,-4.267814305,-4.53562861,-4.803442915,-5.071257221
249,-4.251190064,-4.502380128,-4.753570192,-5.004760256
250,-4.23449139,-4.468982779,-4.703474169,-4.937965558
251,-4.21772323,-4.435446461,-4.653169691,-4.870892922
252,-4.200890555,-4.40178111,-4.602671665,-4.803562221
253,-4.183998352,-4.367996703,-4.551995055,-4.735993407
254,-4.167051626,-4.334103251,-4.501154877,-4.668206502
255,-4.150055398,-4.300110797,-4.450166195,-4.600221593
256,-4.133014707,-4.266029413,-4.39904412,-4.532058826
257,-4.1159346,-4.231869199,-4.347803799,-4.463738398
258,-4.098820139,-4.197640277,-4.296460416,-4.395280555
259,-4.081676395,-4.163352791,-4.245029186,-4.326705581
260,-4.064508449,-4.129016899,-4.193525348,-4.258033798
261,-4.047321388,-4.094642777,-4.141964165,-4.189285553
262,-4.030120305,-4.06024061,-4.090360915,-4.120481219
263,-4.012910296,-4.025820592,-4.038730888,-4.051641184
264,-3.995696462,-3.991392923,-3.987089385,-3.982785847
265,-3.978483903,-3.956967805,-3.935451708,-3.91393561
266,-3.961277719,-3.922555438,-3.883833157,-3.845110876
267,-3.94408301,-3.88816602,-3.83224903,-3.77633204
268,-3.92690487,-3.85380974,-3.78071461,-3.70761948
