"","born","died"
"1",1,6.07067528553307
"2",9,3.25445087067783
"3",11,3.94951936416328
"4",1,11.5823148284107
"5",7,0.849276401102543
"6",4,9.85155700519681
"7",11,4.58845702372491
"8",10,0.377962684258819
"9",1,10.944680666551
"10",6,2.57020056433976
"11",10,7.37104052491486
"12",3,5.58136510290205
"13",12,2.69515610486269
"14",12,20.2800256032497
"15",4,11.629756283015
"16",12,3.00517653487623
"17",12,14.683880276978
"18",1,11.0800832211971
"19",10,10.2750317193568
"20",9,1.33827527984977
"21",10,1.46546205505729
"22",4,9.14444492384791
"23",12,1.30509527586401
"24",9,12.2928356621414
"25",10,9.85319232568145
"26",1,7.9597266856581
"27",12,8.9331519138068
"28",2,0.416632605716586
"29",11,2.16771713644266
"30",2,2.3837833609432
"31",4,6.71035205572844
"32",1,7.69850404188037
"33",2,4.37500567920506
"34",12,3.70949480496347
"35",12,13.3246011603624
"36",11,12.8548187110573
"37",12,1.2509642187506
"38",12,10.9117968007922
"39",2,7.76986213959754
"40",2,0.982299836352468
"41",11,10.2618191409856
"42",12,0.790407948195934
"43",12,12.9606109187007
"44",7,9.56955895386636
"45",3,11.1599254589528
"46",12,4.95609620958567
"47",2,12.1206307299435
"48",9,10.4041713885963
"49",6,2.01465642638505
"50",10,14.5965413376689
"51",2,7.34042489714921
"52",7,4.20335333235562
"53",12,9.52792161516845
"54",6,15.629762487486
"55",11,1.81443879939616
"56",2,18.0973843317479
"57",5,0.914628624916077
"58",12,11.8000851385295
"59",10,9.06674752570689
"60",12,2.29568407125771
"61",1,14.6682656127959
"62",10,15.8114124834538
"63",1,0.0687822047621012
"64",4,10.0572392083704
"65",2,21.4550851844251
"66",3,0.63748318143189
"67",2,4.51188820414245
"68",10,12.862146422267
"69",3,10.0760761108249
"70",9,14.9884381759912
"71",2,0.263607708737254
"72",3,14.2534162290394
"73",7,13.5504410974681
"74",12,10.5633048210293
"75",3,8.37810153700411
"76",10,3.06505913101137
"77",6,2.35073569603264
"78",12,2.08966136723757
"79",3,13.7815552856773
"80",12,13.2953521348536
"81",4,13.1068988051265
"82",9,14.4427768383175
"83",2,0.0211754031479359
"84",3,12.4370269551873
"85",1,12.4149176292121
"86",8,4.62691524066031
"87",5,2.17894654534757
"88",1,12.7109168898314
"89",12,10.7989475671202
"90",1,6.63051749020815
"91",7,8.15607986412942
"92",8,12.1438715290278
"93",11,0.81416392698884
"94",2,13.0160246193409
"95",12,15.2538318280131
"96",3,12.8815668337047
"97",3,8.35363254323602
"98",10,5.40972860343754
"99",11,2.01869550906122
"100",2,10.4156823623925
"101",9,16.6054559089243
"102",8,14.308169843629
"103",9,15.7460948769003
"104",12,10.7194389514625
"105",9,14.2086060605943
"106",11,11.7525097802281
"107",9,11.5475443582982
"108",12,13.0695381984115
"109",9,10.8081166762859
"110",3,0.451030505821109
"111",3,1.06629500538111
"112",6,15.0312433764338
"113",8,1.27880516275764
"114",10,13.9671961795539
"115",12,8.84747888334095
"116",4,6.85990636982024
"117",9,9.5290804579854
"118",10,15.4933971259743
"119",12,1.45915876887739
"120",12,10.6149984374642
"121",6,8.06274458393455
"122",2,19.0210235752165
"123",9,9.76041842624545
"124",9,5.11408517695963
"125",6,16.1910850536078
"126",11,12.0217681210488
"127",1,10.2120992615819
"128",10,21.1674580592662
"129",9,7.90705531463027
"130",1,21.8594715390354
"131",12,11.5281494278461
"132",10,14.317696524784
"133",3,12.9079888332635
"134",1,15.1866718232632
"135",12,5.57362502999604
"136",2,4.34604131989181
"137",4,10.9195553250611
"138",1,2.37618412077427
"139",11,12.9836052395403
"140",6,1.56721079908311
"141",12,9.91886853799224
"142",4,2.02542500942945
"143",10,2.0972304046154
"144",2,0.578833317384124
"145",1,5.67380933091044
"146",1,16.2853578496724
"147",2,9.77196143008769
"148",1,12.2784474603832
"149",6,7.83609391562641
"150",11,8.08014327473938
"151",9,2.08856418170035
"152",4,12.922086937353
"153",2,7.72258628346026
"154",2,3.12030429951847
"155",12,5.41244282573462
"156",11,13.0851755775511
"157",3,4.86700087040663
"158",9,2.48326333612204
"159",11,16.0773108713329
"160",1,17.9442971795797
"161",1,0.144880330190063
"162",5,0.839602746069431
"163",3,0.199956687167287
"164",7,4.30012482963502
"165",4,10.26641828008
"166",6,11.5373907499015
"167",1,4.93595105409622
"168",2,10.4164323415607
"169",9,14.1364668421447
"170",1,16.860657479614
"171",10,6.30303801968694
"172",1,3.47389026917517
"173",2,11.0585564989597
"174",11,7.68185586109757
"175",2,12.1046323757619
"176",1,8.30225394666195
"177",11,8.11174401640892
"178",11,2.67235550098121
"179",4,7.2510442212224
"180",12,16.5230501666665
"181",2,12.6557422354817
"182",1,7.64095953851938
"183",5,18.8894290030003
"184",1,9.94004161097109
"185",1,9.92852531187236
"186",9,1.01267214305699
"187",11,9.33789213560522
"188",9,6.67290360108018
"189",2,6.66624854877591
